"employee_id","first_name","last_name","gender","cnic","phone","email","address","department","position","base_salary","hire_date","store_id","bank_account","status"
1000,"Sara","Aabid","Female","44455-3251926-3","0380-6714631","sara.aabid24@company.com","179 Wadood Springs, Peshawar","Inventory","Inventory Manager",48779,"2022-02-19",8,"2116-3645-4158-1043","Active"
1001,"Amina","Jameel","Female","58212-7129591-6","0315-2708777","amina.jameel2@company.com","669 Zahaar Divide, Karachi","Administration","Admin Assistant",38190,"2022-09-25",8,"9089-6266-7939-7385","Active"
1002,"Zain","Tahmaseb","Male","44911-5573090-8","0351-7932675","zain.tahmaseb46@company.com","324 Aatiq Plaza, Rawalpindi","Customer Service","Customer Representative",36863,"2024-01-06",7,"7974-8834-9764-1718","Active"
1003,"Sadia","Ghunayn","Female","30259-5228211-5","0333-7517510","sadia.ghunayn71@company.com","682 Qais Parkways, Multan","Maintenance","Cleaner",24187,"2021-12-30",6,"3897-5557-1407-3843","Active"
1004,"Nadia","Wadood","Female","23696-3790337-6","0314-5708626","nadia.wadood2@company.com","252 Aasim Forks, Faisalabad","Inventory","Stock Clerk",26349,"2024-10-04",1,"5206-8806-5832-9971","Active"
1005,"Ali","Umar","Male","74020-1876477-0","0394-3816994","ali.umar41@company.com","96 Zahur Hollow, Peshawar","Administration","Accountant",57456,"2020-10-05",5,"6278-4936-5502-4463","Active"
1006,"Muhammad","Zafir","Male","18012-1100519-9","0320-5124834","muhammad.zafir70@company.com","44 Idris Plains, Rawalpindi","Sales","Sales Supervisor",41676,"2024-08-30",9,"2258-6170-7752-4010","Active"
1007,"Fatima","Kamran","Female","86337-5908167-6","0344-8435361","fatima.kamran6@company.com","402 Rafeeq Mews, Gujranwala","Sales","Sales Associate",36998,"2025-08-02",9,"5105-3166-6121-5795","Active"
1008,"Bilal","Raaghib","Male","75138-2320456-8","0358-4890736","bilal.raaghib80@company.com","736 Kawthar Burg, Gujranwala","Administration","HR Officer",42065,"2022-05-29",1,"1680-9371-9490-8838","Active"
1009,"Hira","Qais","Female","86340-1743643-7","0370-1496162","hira.qais3@company.com","849 Qabeel Causeway, Lahore","Customer Service","Service Desk Staff",32312,"2021-12-01",7,"6900-7653-1507-1906","Active"
1010,"Sara","Aabid","Female","71395-5580088-7","0323-7175740","sara.aabid14@company.com","232 Tahmaseb Views, Rawalpindi","Maintenance","Cleaner",19979,"2021-01-13",9,"7518-4598-1229-2902","Active"
1011,"Usman","Gulshan","Male","74902-7683210-3","0310-7845385","usman.gulshan56@company.com","472 Talat Ford, Rawalpindi","Management","Store Manager",83214,"2023-08-29",6,"1477-1709-2368-2634","Active"
1012,"Nadia","Majd Udeen","Female","60956-9769214-2","0336-5027024","nadia.majd udeen57@company.com","950 Wafa Parkways, Rawalpindi","Customer Service","Service Desk Staff",37468,"2020-11-25",1,"2454-8895-3595-3502","Terminated"
1013,"Hira","Fidvi","Female","93600-1726658-6","0393-4424361","hira.fidvi10@company.com","576 Sabbir Mount, Sialkot","Sales","Sales Supervisor",43982,"2022-05-29",6,"7939-7046-2534-2084","Active"
1014,"Zain","Tadeen","Male","33998-8427172-5","0311-4645497","zain.tadeen94@company.com","966 Jahanzeb Pike, Faisalabad","Administration","Accountant",66129,"2023-03-08",3,"2435-4461-6344-4102","Active"
1015,"Ahmed","Umar","Male","99055-7743910-8","0345-7322807","ahmed.umar68@company.com","360 Nabeeh Ville, Gujranwala","Security","Security Guard",28919,"2022-04-24",9,"4688-9907-7237-8513","Active"
1016,"Muhammad","Tahir","Male","64319-2989305-7","0347-5890317","muhammad.tahir38@company.com","937 Saajid Dale, Faisalabad","Customer Service","Customer Representative",42385,"2021-12-27",8,"6422-4912-6332-7006","Active"
1017,"Fatima","Yafir","Female","48406-9114117-8","0353-4603512","fatima.yafir50@company.com","978 Ijli Port, Sialkot","Administration","Accountant",79483,"2024-08-29",2,"8432-8056-4113-9210","Active"
1018,"Sara","Raakin","Female","59032-3768997-0","0335-2998408","sara.raakin23@company.com","464 Luay Fords, Peshawar","Administration","HR Officer",53961,"2024-06-28",6,"7515-6923-1128-6362","Active"
1019,"Bilal","Ali","Male","77107-9460434-1","0346-8809179","bilal.ali65@company.com","348 Majeed Cove, Rawalpindi","Management","Store Manager",121575,"2025-04-28",3,"8028-2223-5565-9480","Active"
1020,"Khadija","Zayyir","Female","48588-6664428-1","0332-2814770","khadija.zayyir73@company.com","896 Yahyaa Estates, Multan","Administration","Admin Assistant",30265,"2024-10-04",7,"8054-5462-4547-5512","On Leave"
1021,"Hira","Baasit","Female","18585-3698729-4","0351-9469328","hira.baasit11@company.com","691 Karaamat Flat, Sialkot","Inventory","Stock Clerk",26435,"2025-08-07",3,"8482-3069-4226-4021","Active"
1022,"Hassan","Qusay","Male","90943-6588036-8","0338-8030088","hassan.qusay19@company.com","686 Tahawwur Crossing, Faisalabad","Administration","Admin Assistant",33040,"2021-08-15",3,"8627-4033-2512-3845","Active"
1023,"Maryam","Azban","Female","64368-3988969-2","0354-8126451","maryam.azban45@company.com","10 Quadir Underpass, Peshawar","Maintenance","Maintenance Technician",42819,"2021-03-07",9,"3183-5047-5064-2364","Active"
1024,"Hassan","Baaqir","Male","34747-5012078-8","0379-4642863","hassan.baaqir91@company.com","757 Ubaid Common, Multan","Security","Security Supervisor",38737,"2024-06-08",8,"7017-3522-8622-7064","On Leave"
1025,"Bilal","Aatiq","Male","29754-2324122-9","0356-3266499","bilal.aatiq71@company.com","279 Sair Station, Sialkot","Security","Security Supervisor",28117,"2021-07-19",8,"5728-8695-6384-7624","Active"
1026,"Usman","Ubadah","Male","17276-1853316-3","0391-5834240","usman.ubadah98@company.com","713 Aysar Fords, Islamabad","Sales","Sales Supervisor",47852,"2023-10-01",9,"9307-4020-7520-2797","Active"
1027,"Ali","Awj","Male","94466-9504758-7","0356-8618262","ali.awj83@company.com","665 Mahmoud Roads, Peshawar","Management","Assistant Manager",71662,"2024-03-05",7,"6988-2372-2269-7782","On Leave"
1028,"Amina","Ubaid","Female","97202-1164551-6","0342-1342557","amina.ubaid37@company.com","594 Zafeer Alley, Karachi","Inventory","Warehouse Worker",27869,"2021-02-11",6,"6917-6726-1476-9497","Active"
1029,"Maryam","Aabid","Female","72609-3362808-9","0334-2990420","maryam.aabid42@company.com","736 Nadeem Mission, Karachi","Inventory","Inventory Manager",60337,"2022-07-05",6,"8926-4691-3915-6005","Active"
1030,"Fatima","Karaamat","Female","49240-6254905-8","0347-1921312","fatima.karaamat1@company.com","738 Raashid Rapid, Sialkot","Inventory","Warehouse Worker",28413,"2022-01-01",7,"8964-6689-6496-2661","Active"
1031,"Hussain","Zaakir","Male","71244-9236732-7","0398-8024158","hussain.zaakir46@company.com","125 Cheragh Drives, Multan","Inventory","Inventory Manager",53485,"2025-07-23",6,"5878-7394-8526-2206","Active"
1032,"Nadia","Aryan","Female","11661-8987985-5","0350-6352405","nadia.aryan33@company.com","825 Kachela Circles, Islamabad","Inventory","Warehouse Worker",23174,"2022-04-25",5,"5404-2837-6483-7814","On Leave"
