"receipt_id","purchase_order_id","product_id","received_quantity","damaged_quantity","receipt_date","received_by","storage_location","quality_check","notes"
1,1,6,97,0,"2021-01-21","Ghaalib Awani","Shelf-19-C","Pass","Received in good condition"
2,1,4,115,0,"2021-01-21","Zaahir Daamin","Shelf-10-D","Pass","Received in good condition"
3,1,7,39,0,"2021-01-21","Qanit Kaamil","Shelf-50-D","Pass","Received in good condition"
4,1,10,173,62,"2021-01-21","Ikrimah Naeem","Shelf-8-C","Pass","62 units damaged during transit"
5,1,4,82,0,"2021-01-22","Bahiy Udeen Limazah","Shelf-44-B","Pass","Received in good condition"
6,1,1,73,0,"2021-01-22","Saahir Jahdari","Shelf-38-D","Pass","Received in good condition"
7,1,12,235,0,"2021-01-20","Ihtishaam Mahfuj","Shelf-16-A","Pass","Received in good condition"
8,14,6,103,0,"2021-02-09","Kabeer Ejlaal","Shelf-18-A","Pass","Received in good condition"
9,14,1,47,0,"2021-02-06","Kamal Nabih","Shelf-12-A","Pass","Received in good condition"
10,14,12,97,0,"2021-02-07","Kamal Tadeen","Shelf-45-C","Pass","Received in good condition"
11,14,12,164,0,"2021-02-06","Bashar Kabeer","Shelf-21-B","Pass","Received in good condition"
12,15,4,77,0,"2021-02-08","Madiyan Ghutayf","Shelf-46-B","Fail","Received in good condition"
13,15,3,80,0,"2021-02-09","Waail Umar","Shelf-12-B","Pass","Received in good condition"
14,16,8,89,0,"2021-01-22","Ejlaal Zackariya","Shelf-19-C","Pass","Received in good condition"
15,16,6,44,0,"2021-01-24","Taahaa Zackariya","Shelf-33-A","Pass","Received in good condition"
16,16,9,87,0,"2021-01-21","Tadeen Naail","Shelf-29-D","Fail","Received in good condition"
17,16,3,132,0,"2021-01-21","Maheen Jalaal","Shelf-9-A","Pass","Received in good condition"
18,16,11,31,0,"2021-01-24","Jahanzeb Kachela","Shelf-16-D","Pass","Received in good condition"
19,16,5,222,0,"2021-01-21","Ghayoor Urrab","Shelf-8-C","Pass","Received in good condition"
20,16,4,115,0,"2021-01-24","Parsa Talal","Shelf-34-D","Pass","Received in good condition"
21,18,9,48,0,"2021-01-17","Karaamat Maawiya","Shelf-43-B","Pass","Received in good condition"
22,18,2,129,0,"2021-01-17","Naathim Sadaqat","Shelf-45-B","Pass","Received in good condition"
23,18,5,192,0,"2021-01-18","Ghufran Darain","Shelf-8-C","Pass","Received in good condition"
24,18,2,68,0,"2021-01-17","Aamil Zahri","Shelf-2-B","Pass","Received in good condition"
25,18,8,90,0,"2021-01-16","Madani Bashaarat","Shelf-45-B","Pass","Received in good condition"
26,18,3,101,33,"2021-01-19","Bashaar Jalil","Shelf-6-A","Pass","33 units damaged during transit"
27,18,11,60,0,"2021-01-19","Saajid Aalam","Shelf-34-C","Pass","Received in good condition"
28,20,7,14,0,"2021-01-18","Chamali Sabil","Shelf-17-A","Pass","Received in good condition"
29,20,1,92,0,"2021-01-17","Auraq Radi","Shelf-8-B","Pass","Received in good condition"
30,22,10,190,0,"2021-02-09","Tabish Raatib","Shelf-19-C","Pass","Received in good condition"
31,22,6,69,0,"2021-02-09","Tamam Mahbeer","Shelf-50-B","Pass","Received in good condition"
32,22,8,242,0,"2021-02-09","Luqmaan Wahhaaj","Shelf-50-B","Pass","Received in good condition"
33,27,2,83,0,"2021-03-11","Tahoor Kamal","Shelf-47-C","Pass","Received in good condition"
34,27,1,32,11,"2021-03-12","Yar Baleegh","Shelf-8-B","Pass","11 units damaged during transit"
35,27,6,51,0,"2021-03-10","Tahseen Zahrun","Shelf-50-A","Pass","Received in good condition"
36,29,11,75,0,"2021-03-01","Kamil Yasir","Shelf-31-A","Pass","Received in good condition"
37,29,2,162,0,"2021-03-04","Mad Raid","Shelf-50-A","Pass","Received in good condition"
38,29,9,105,0,"2021-03-03","Qasid Liyaaqat","Shelf-46-A","Pass","Received in good condition"
39,29,9,63,0,"2021-03-03","Kasim Waahid","Shelf-4-A","Pass","Received in good condition"
40,29,10,166,0,"2021-03-02","Esfandyar Luqman","Shelf-33-A","Pass","Received in good condition"
41,30,12,100,0,"2021-02-28","Zaeem Sabur","Shelf-22-C","Pass","Received in good condition"
